repo_full_name,login,name,num_commits,additions,deletions,avg_additions_per_commit,avg_deletions_per_commit,is_bot
codeforamerica/vita-min,mpidcock,Martha Pidcock,149,34396,18024,230.85,120.97,False
codeforamerica/vita-min,arinchoi03,Y. Arin Choi,163,47695,30616,292.61,187.83,False
codeforamerica/vita-min,tdooner,Tom Dooner,193,10827,3248,56.1,16.83,False
codeforamerica/vita-min,mrotondo,Mike Rotondo,212,113160,28489,533.77,134.38,False
codeforamerica/vita-min,wschaefer,Whitney Schaefer,231,26493,15290,114.69,66.19,False
codeforamerica/vita-min,tofarr,Tim O'Farrell,239,27102,8706,113.4,36.43,False
codeforamerica/vita-min,caitbot,Catie Talbot,305,29955,14833,98.21,48.63,True
codeforamerica/vita-min,tahsinaislam,Tahsina Islam,313,36409,12953,116.32,41.38,False
codeforamerica/vita-min,bengolder,Ben Golder,750,88287,41275,117.72,55.03,False
codeforamerica/vita-min,embarnard,em barnard,785,91229,60088,116.22,76.55,False
codeforamerica/vita-min,tgrathwell,,793,84579,84578,106.66,106.66,False
codeforamerica/vita-min,bytheway875,Shannon Byrne,945,174837,90132,185.01,95.38,False
codeforamerica/vita-min,alaroia-cfa,Asheesh Laroia,960,368349,127882,383.7,133.21,False
codeforamerica/vita-min,jenny-heath,,1149,174338,59816,151.73,52.06,False
codeforamerica/tofu-modules-aws-serverless-database,jenny-heath,,1,376,75,376.0,75.0,False
codeforamerica/tofu-modules-aws-serverless-database,github-actions[bot],,11,89,14,8.09,1.27,True
codeforamerica/tofu-modules-aws-serverless-database,jamesiarmes,James Armes (they/them),28,2462,421,87.93,15.04,False
codeforamerica/tax-benefits-backend,robdiciuccio,Rob DiCiuccio,6,387,26,64.5,4.33,False
codeforamerica/tax-benefits-backend,powersurge360,Kevin Diale,9,276,73,30.67,8.11,False
codeforamerica/tax-benefits-backend,tahsinaislam,Tahsina Islam,14,217,16,15.5,1.14,False
codeforamerica/tax-benefits-backend,DrewProebstel,Drew Proebstel,14,600,308,42.86,22.0,False
codeforamerica/tax-benefits-backend,anisharamnani,Anisha Ramnani,18,584,335,32.44,18.61,False
codeforamerica/tax-benefits-backend,jenny-heath,,18,356,146,19.78,8.11,False
codeforamerica/tax-benefits-backend,arinchoi03,Y. Arin Choi,28,1161,153,41.46,5.46,False
codeforamerica/tax-benefits-backend,mrotondo,Mike Rotondo,29,1146,184,39.52,6.34,False
codeforamerica/tax-benefits-backend,jamesiarmes,James Armes (they/them),46,6136,2242,133.39,48.74,False
codeforamerica/pya,jenny-heath,,1,19,0,19.0,0.0,False
codeforamerica/pya,embarnard,em barnard,3,1828,69,609.33,23.0,False
codeforamerica/pya,mrotondo,Mike Rotondo,7,227,210,32.43,30.0,False
codeforamerica/pya,tahsinaislam,Tahsina Islam,14,2664,886,190.29,63.29,False
codeforamerica/pya,powersurge360,Kevin Diale,17,686,186,40.35,10.94,False
codeforamerica/pya,anisharamnani,Anisha Ramnani,22,8227,2046,373.95,93.0,False
codeforamerica/pya,arinchoi03,Y. Arin Choi,58,4292,1889,74.0,32.57,False
codeforamerica/pya,dependabot[bot],,61,333,327,5.46,5.36,True
codeforamerica/pya,DrewProebstel,Drew Proebstel,65,8757,3659,134.72,56.29,False
codeforamerica/honeycrisp-gem,lettherebesites,,1,354,17,354.0,17.0,False
codeforamerica/honeycrisp-gem,akingcfa,,1,354,17,354.0,17.0,False
codeforamerica/honeycrisp-gem,jonsgreen,Jonathan,1,17,5,17.0,5.0,False
codeforamerica/honeycrisp-gem,alaroia-cfa,Asheesh Laroia,1,1,1,1.0,1.0,False
