var_a,var_b,rho,p_value,n_pairs,significant_uncorrected,significant_fdr
median_time_to_first_response_issues_hours,network_density,0.0285,0.8902,26,False,False
total_commits,health_percentage,0.0168,0.901914,56,False,False
change_request_acceptance_ratio,median_time_to_first_response_issues_hours,-0.0216,0.909843,30,False,False
hhi_no_bots,median_time_to_first_response_issues_hours,-0.0131,0.945117,30,False,False
total_commits,network_density,0.0114,0.946417,37,False,False
burstiness_cv,median_pr_review_turnaround_hours,-0.0113,0.946959,37,False,False
bus_factor_no_bots,median_pr_review_turnaround_hours,-0.0106,0.950349,37,False,False
stale_issue_ratio,median_time_to_first_response_issues_hours,-0.0111,0.956015,27,False,False
median_pr_review_turnaround_hours,network_density,0.0075,0.964818,37,False,False
hhi_no_bots,health_percentage,0.0052,0.970086,55,False,False
age_years,median_time_to_first_response_issues_hours,0.0056,0.97673,30,False,False
herfindahl_hirschman_index,change_request_acceptance_ratio,0.0031,0.983102,48,False,False
bus_factor,health_percentage,0.0026,0.984813,55,False,False
age_years,median_pr_review_turnaround_hours,-0.0024,0.988888,37,False,False
burstiness_cv,hhi_no_bots,-0.0018,0.989853,55,False,False
