repo_full_name,change_request_acceptance_ratio,bus_factor,bus_factor_no_bots,bot_contributor_count,bot_commit_count,contribution_types,organizational_diversity,newcomer_friendly_labels,total_labels,release_frequency_per_month,fork_count,burstiness_cv,burstiness_mean,burstiness_std,median_defect_resolution_days,osi_approved_license,elephant_factor,elephant_factor_no_bots,contributor_new_count,contributor_casual_count,contributor_regular_count,median_time_to_first_response_issues_hours,median_time_to_first_response_prs_hours,time_to_first_response_issues_sample_size,time_to_first_response_prs_sample_size,readme_last_updated,contributing_last_updated,stale_issue_ratio,stale_issue_count,open_issue_count,median_pr_review_turnaround_hours,avg_review_comments_per_pr,herfindahl_hirschman_index,hhi_no_bots,hhi_known_orgs_only,unknown_org_contributor_count,contributor_org_types,dora_deployment_frequency_per_month,dora_median_lead_time_days,dora_change_failure_rate,core_contributor_count,periphery_contributor_count,core_periphery_ratio,network_density,avg_degree_centrality
oklabflensburg/open-biotope-map,,1,1,0,0,code_commits=62;pull_requests=0;issues=0,oklabflensburg=2,good first issue;help wanted,10,,2,1.21,7.75,9.35,,False,1,1,0,0,0,,,0,0,2025-04-14T11:18:50+00:00,2024-12-11T15:43:16+00:00,,0,0,,,10000.0,10000.0,10000.0,0,government=0;academic=0;nonprofit=0;company=2;unknown=0,,,,0,0,,,
oklabflensburg/open-school-map,,1,1,0,0,code_commits=124;pull_requests=0;issues=1,oklabflensburg=2;Unknown=1,good first issue;help wanted,10,,1,1.79,5.64,10.12,,False,1,1,0,0,0,,,1,0,2026-04-12T16:33:22+00:00,2024-12-11T16:16:05+00:00,1.0,1,1,,,9840.0,9840.0,10000.0,1,government=0;academic=0;nonprofit=0;company=2;unknown=1,,,,0,0,,,
oklabflensburg/open-data-api,0.75,1,1,0,0,code_commits=272;pull_requests=4;issues=0,oklabflensburg=2;Unknown=5,good first issue;help wanted,10,,7,1.15,6.48,7.44,,False,1,1,0,0,0,,,0,4,2025-01-19T21:22:15+00:00,2024-12-09T15:48:24+00:00,,0,0,13.2,0.0,9291.7,9419.5,10000.0,5,government=0;academic=0;nonprofit=0;company=2;unknown=5,,,0.0,0,2,0.0,1.0,1.0
oklabflensburg/open-recycling-map,,1,1,0,0,code_commits=36;pull_requests=0;issues=0,oklabflensburg=2,good first issue;help wanted,10,,2,1.32,3.6,4.74,,False,1,1,0,0,0,,,0,0,2024-12-11T15:47:02+00:00,2024-12-11T15:47:02+00:00,,0,0,,,10000.0,10000.0,10000.0,0,government=0;academic=0;nonprofit=0;company=2;unknown=0,,,,0,0,,,
oklabflensburg/open-trees-map,1.0,1,1,0,0,code_commits=99;pull_requests=6;issues=0,oklabflensburg=2;Unknown=3;54GradSoftware=2,good first issue;help wanted,10,,3,1.06,3.81,4.04,0.8,False,1,1,0,0,0,4035.6,,3,6,2026-03-24T07:43:04+00:00,2024-12-10T21:31:16+00:00,,0,0,53.3,0.33,7008.5,6961.5,8380.2,3,government=0;academic=0;nonprofit=0;company=4;unknown=3,,,0.0,0,5,0.0,0.4,0.4
oklabflensburg/open-monuments-map,0.7273,1,1,1,5,code_commits=292;pull_requests=11;issues=0,oklabflensburg=2;Unknown=2,good first issue;help wanted,14,,4,1.05,3.37,3.53,,False,1,1,0,0,0,1749.0,,2,11,2025-05-21T12:42:27+00:00,2024-12-11T16:25:57+00:00,1.0,1,1,36.3,0.38,9725.1,9724.2,10000.0,2,government=0;academic=0;nonprofit=0;company=2;unknown=2,,,0.0,2,4,0.3333,0.3333,0.3333
codeforcologne/Denkmal-4D-Koeln,1.0,1,1,0,0,code_commits=39;pull_requests=2;issues=0,Unknown=2;Digital-Heritage-Lab=1,good first issue;help wanted,9,,1,0.75,2.44,1.84,,True,1,1,0,0,0,,,0,2,2026-01-04T21:42:12+00:00,,,0,0,0.2,0.5,9027.0,4792.9,10000.0,2,government=0;academic=1;nonprofit=0;company=1;unknown=1,,,0.0,0,2,0.0,1.0,1.0
CodeforLeipzig/weihnachtsmarktkarte,0.1733,3,3,2,25,code_commits=454;pull_requests=75;issues=0,sst it GmbH=2;Unknown=7;Technologiestiftung Berlin=1,good first issue;help wanted,9,,0,1.23,25.22,31.15,,True,1,1,0,0,0,,,18,75,2025-11-29T22:20:43+00:00,,0.8889,8,9,,0.0,4784.2,3049.3,8755.6,7,government=0;academic=0;nonprofit=0;company=5;unknown=5,,,0.0,0,0,,,
CodeforLeipzig/leipziggiesst,0.6667,2,2,0,0,code_commits=500;pull_requests=6;issues=0,sst it GmbH=2;Unknown=6;fh-potsdam=2;Vogelino SpA=2,good first issue;help wanted,23,,5,0.65,2.54,1.66,56.9,True,1,1,0,0,0,6056.1,,59,6,2022-02-12T17:31:29+00:00,,0.6667,2,3,142.8,0.0,4205.4,4374.1,4953.1,6,government=0;academic=0;nonprofit=0;company=8;unknown=5,,,0.0,0,2,0.0,1.0,1.0
code-for-magdeburg/StadtratWatch-web,0.974,1,1,0,0,code_commits=389;pull_requests=154;issues=0,Unknown=3,good first issue;help wanted,8,,2,1.18,4.62,5.45,,True,1,1,0,0,0,,,100,100,2025-08-01T09:42:55+00:00,,0.898,44,49,,0.0,10000.0,9861.1,,3,government=0;academic=0;nonprofit=0;company=0;unknown=4,,,0.0067,0,0,,,
